sim_num,date,virus_id,virus,outbreak_size
169,30,0,Measles,9
169,31,0,Measles,9
169,32,0,Measles,9
169,33,0,Measles,9
169,34,0,Measles,9
169,35,0,Measles,9
169,36,0,Measles,9
169,37,0,Measles,9
169,38,0,Measles,9
169,39,0,Measles,9
169,40,0,Measles,9
169,41,0,Measles,9
169,42,0,Measles,9
169,43,0,Measles,9
169,44,0,Measles,9
169,45,0,Measles,9
169,46,0,Measles,9
169,47,0,Measles,9
169,48,0,Measles,9
169,49,0,Measles,9
169,50,0,Measles,9
169,51,0,Measles,9
169,52,0,Measles,9
169,53,0,Measles,9
169,54,0,Measles,9
169,55,0,Measles,9
169,56,0,Measles,9
169,57,0,Measles,9
169,58,0,Measles,9
169,59,0,Measles,9
169,60,0,Measles,9
170,0,0,Measles,3
170,1,0,Measles,3
170,2,0,Measles,3
170,3,0,Measles,3
170,4,0,Measles,3
170,5,0,Measles,3
170,6,0,Measles,3
170,7,0,Measles,3
170,8,0,Measles,3
170,9,0,Measles,3
170,10,0,Measles,3
170,11,0,Measles,3
170,12,0,Measles,3
170,13,0,Measles,3
170,14,0,Measles,3
170,15,0,Measles,3
170,16,0,Measles,3
170,17,0,Measles,4
170,18,0,Measles,4
170,19,0,Measles,5
170,20,0,Measles,5
170,21,0,Measles,7
170,22,0,Measles,7
170,23,0,Measles,7
170,24,0,Measles,9
170,25,0,Measles,9
170,26,0,Measles,9
170,27,0,Measles,9
170,28,0,Measles,9
170,29,0,Measles,9
170,30,0,Measles,11
170,31,0,Measles,13
170,32,0,Measles,14
170,33,0,Measles,15
170,34,0,Measles,15
170,35,0,Measles,15
170,36,0,Measles,16
170,37,0,Measles,18
170,38,0,Measles,19
170,39,0,Measles,21
170,40,0,Measles,22
170,41,0,Measles,22
170,42,0,Measles,22
170,43,0,Measles,22
170,44,0,Measles,22
170,45,0,Measles,22
170,46,0,Measles,23
170,47,0,Measles,23
170,48,0,Measles,24
170,49,0,Measles,24
170,50,0,Measles,24
170,51,0,Measles,24
170,52,0,Measles,25
170,53,0,Measles,25
170,54,0,Measles,25
170,55,0,Measles,27
170,56,0,Measles,27
170,57,0,Measles,28
170,58,0,Measles,28
170,59,0,Measles,28
170,60,0,Measles,30
171,0,0,Measles,3
171,1,0,Measles,3
171,2,0,Measles,3
171,3,0,Measles,3
171,4,0,Measles,4
171,5,0,Measles,5
171,6,0,Measles,5
171,7,0,Measles,6
171,8,0,Measles,6
171,9,0,Measles,6
171,10,0,Measles,6
171,11,0,Measles,6
171,12,0,Measles,6
171,13,0,Measles,6
171,14,0,Measles,6
171,15,0,Measles,6
171,16,0,Measles,6
171,17,0,Measles,6
171,18,0,Measles,6
171,19,0,Measles,7
171,20,0,Measles,7
171,21,0,Measles,7
171,22,0,Measles,7
171,23,0,Measles,7
171,24,0,Measles,7
171,25,0,Measles,7
171,26,0,Measles,7
171,27,0,Measles,7
171,28,0,Measles,7
171,29,0,Measles,7
171,30,0,Measles,7
171,31,0,Measles,7
171,32,0,Measles,7
171,33,0,Measles,7
171,34,0,Measles,7
171,35,0,Measles,7
171,36,0,Measles,7
171,37,0,Measles,7
171,38,0,Measles,7
171,39,0,Measles,7
171,40,0,Measles,7
171,41,0,Measles,7
171,42,0,Measles,7
171,43,0,Measles,7
171,44,0,Measles,7
171,45,0,Measles,7
171,46,0,Measles,7
171,47,0,Measles,7
171,48,0,Measles,7
171,49,0,Measles,7
171,50,0,Measles,7
171,51,0,Measles,7
171,52,0,Measles,7
171,53,0,Measles,7
171,54,0,Measles,7
171,55,0,Measles,7
171,56,0,Measles,7
171,57,0,Measles,7
171,58,0,Measles,7
171,59,0,Measles,7
171,60,0,Measles,7
172,0,0,Measles,3
172,1,0,Measles,3
172,2,0,Measles,3
172,3,0,Measles,3
172,4,0,Measles,3
172,5,0,Measles,3
172,6,0,Measles,3
172,7,0,Measles,3
172,8,0,Measles,3
172,9,0,Measles,3
172,10,0,Measles,4
172,11,0,Measles,4
172,12,0,Measles,4
172,13,0,Measles,4
172,14,0,Measles,4
172,15,0,Measles,4
172,16,0,Measles,4
172,17,0,Measles,4
172,18,0,Measles,4
172,19,0,Measles,4
172,20,0,Measles,4
172,21,0,Measles,4
172,22,0,Measles,4
172,23,0,Measles,4
172,24,0,Measles,4
172,25,0,Measles,4
172,26,0,Measles,4
172,27,0,Measles,4
172,28,0,Measles,4
172,29,0,Measles,4
172,30,0,Measles,4
172,31,0,Measles,4
172,32,0,Measles,4
172,33,0,Measles,4
172,34,0,Measles,4
172,35,0,Measles,4
172,36,0,Measles,4
172,37,0,Measles,4
172,38,0,Measles,4
172,39,0,Measles,4
172,40,0,Measles,4
172,41,0,Measles,4
172,42,0,Measles,4
172,43,0,Measles,4
172,44,0,Measles,4
172,45,0,Measles,4
172,46,0,Measles,4
172,47,0,Measles,4
172,48,0,Measles,4
172,49,0,Measles,4
172,50,0,Measles,4
172,51,0,Measles,4
172,52,0,Measles,4
172,53,0,Measles,4
172,54,0,Measles,4
172,55,0,Measles,4
172,56,0,Measles,4
172,57,0,Measles,4
172,58,0,Measles,4
172,59,0,Measles,4
172,60,0,Measles,4
173,0,0,Measles,3
173,1,0,Measles,3
173,2,0,Measles,3
173,3,0,Measles,3
173,4,0,Measles,5
173,5,0,Measles,5
173,6,0,Measles,7
173,7,0,Measles,8
173,8,0,Measles,9
173,9,0,Measles,10
173,10,0,Measles,10
173,11,0,Measles,12
173,12,0,Measles,14
173,13,0,Measles,15
173,14,0,Measles,17
173,15,0,Measles,18
173,16,0,Measles,20
173,17,0,Measles,24
173,18,0,Measles,24
173,19,0,Measles,25
173,20,0,Measles,26
173,21,0,Measles,26
173,22,0,Measles,29
173,23,0,Measles,30
173,24,0,Measles,30
173,25,0,Measles,30
173,26,0,Measles,33
173,27,0,Measles,35
173,28,0,Measles,36
173,29,0,Measles,37
173,30,0,Measles,38
173,31,0,Measles,38
173,32,0,Measles,38
173,33,0,Measles,39
173,34,0,Measles,39
173,35,0,Measles,39
173,36,0,Measles,40
173,37,0,Measles,41
173,38,0,Measles,41
173,39,0,Measles,41
173,40,0,Measles,41
173,41,0,Measles,43
173,42,0,Measles,43
173,43,0,Measles,43
173,44,0,Measles,43
173,45,0,Measles,43
173,46,0,Measles,44
173,47,0,Measles,46
173,48,0,Measles,47
173,49,0,Measles,48
173,50,0,Measles,49
173,51,0,Measles,50
173,52,0,Measles,51
173,53,0,Measles,52
173,54,0,Measles,53
173,55,0,Measles,54
173,56,0,Measles,56
173,57,0,Measles,58
173,58,0,Measles,60
173,59,0,Measles,63
173,60,0,Measles,64
174,0,0,Measles,3
174,1,0,Measles,3
174,2,0,Measles,3
174,3,0,Measles,3
174,4,0,Measles,3
174,5,0,Measles,3
174,6,0,Measles,3
174,7,0,Measles,3
174,8,0,Measles,3
174,9,0,Measles,4
174,10,0,Measles,4
174,11,0,Measles,4
174,12,0,Measles,5
174,13,0,Measles,5
174,14,0,Measles,5
174,15,0,Measles,5
174,16,0,Measles,5
174,17,0,Measles,5
174,18,0,Measles,5
174,19,0,Measles,5
174,20,0,Measles,5
174,21,0,Measles,5
174,22,0,Measles,5
174,23,0,Measles,5
174,24,0,Measles,5
174,25,0,Measles,5
174,26,0,Measles,5
174,27,0,Measles,5
174,28,0,Measles,5
174,29,0,Measles,5
174,30,0,Measles,5
174,31,0,Measles,5
174,32,0,Measles,5
174,33,0,Measles,5
174,34,0,Measles,5
174,35,0,Measles,5
174,36,0,Measles,5
174,37,0,Measles,6
174,38,0,Measles,6
174,39,0,Measles,6
174,40,0,Measles,6
174,41,0,Measles,6
174,42,0,Measles,6
174,43,0,Measles,6
174,44,0,Measles,6
174,45,0,Measles,6
174,46,0,Measles,6
174,47,0,Measles,6
174,48,0,Measles,6
174,49,0,Measles,6
174,50,0,Measles,6
174,51,0,Measles,6
174,52,0,Measles,6
174,53,0,Measles,6
174,54,0,Measles,6
174,55,0,Measles,6
174,56,0,Measles,6
174,57,0,Measles,6
174,58,0,Measles,6
174,59,0,Measles,6
174,60,0,Measles,6
175,0,0,Measles,3
175,1,0,Measles,3
175,2,0,Measles,3
175,3,0,Measles,3
175,4,0,Measles,3
175,5,0,Measles,3
175,6,0,Measles,3
175,7,0,Measles,3
175,8,0,Measles,5
175,9,0,Measles,5
175,10,0,Measles,5
175,11,0,Measles,5
175,12,0,Measles,5
175,13,0,Measles,5
175,14,0,Measles,5
175,15,0,Measles,5
175,16,0,Measles,5
175,17,0,Measles,5
175,18,0,Measles,5
175,19,0,Measles,5
175,20,0,Measles,5
175,21,0,Measles,5
175,22,0,Measles,5
