sim_num,date,virus_id,tool_id,count,weight
1,20,0,0,1,1
2,31,0,-1,1,1
3,40,0,-1,1,1
5,8,0,0,1,1
6,47,0,-1,1,1
6,51,0,-1,1,1
6,54,0,-1,1,1
6,29,0,0,1,1
6,31,0,0,1,1
7,38,0,-1,1,1
8,54,0,0,1,1
9,45,0,-1,1,1
9,53,0,-1,1,1
9,26,0,0,1,1
9,27,0,0,1,1
9,52,0,0,1,1
10,18,0,0,1,1
11,32,0,-1,1,1
13,7,0,0,1,1
13,15,0,0,1,1
17,33,0,0,1,1
18,4,0,0,1,1
19,41,0,-1,1,1
19,16,0,0,1,1
21,22,0,0,1,1
22,39,0,-1,1,1
23,8,0,-1,1,1
23,18,0,-1,1,1
23,21,0,0,1,1
23,41,0,0,1,1
25,43,0,-1,1,1
27,28,0,-1,1,1
32,25,0,0,1,1
33,38,0,0,1,1
36,9,0,0,1,1
36,51,0,0,1,1
39,22,0,-1,1,1
39,17,0,0,1,1
46,4,0,0,1,1
47,17,0,-1,1,1
47,51,0,-1,1,1
49,11,0,0,1,1
50,44,0,-1,1,1
50,16,0,0,1,1
50,32,0,0,1,1
50,58,0,0,1,1
52,21,0,0,1,1
55,28,0,0,1,1
55,34,0,0,1,1
56,32,0,0,1,1
58,25,0,-1,1,1
60,19,0,0,1,1
60,39,0,0,1,1
60,40,0,0,1,1
61,19,0,-1,1,1
61,9,0,0,1,1
61,35,0,0,1,1
65,19,0,0,1,1
70,18,0,0,1,1
71,9,0,0,1,1
71,29,0,0,1,1
72,6,0,0,1,1
73,7,0,0,1,1
81,21,0,0,1,1
81,26,0,0,1,1
81,42,0,0,1,1
82,7,0,0,1,1
83,22,0,0,1,1
85,8,0,0,1,1
87,15,0,-1,1,1
87,33,0,-1,1,1
87,57,0,-1,1,1
92,8,0,0,1,1
94,6,0,0,1,1
97,37,0,-1,1,1
97,16,0,0,1,1
98,26,0,0,1,1
101,51,0,0,1,1
102,32,0,-1,1,1
102,12,0,0,1,1
102,20,0,0,1,1
105,9,0,0,1,1
105,59,0,0,1,1
106,11,0,0,1,1
112,8,0,0,1,1
113,23,0,-1,1,1
117,43,0,0,1,1
119,35,0,-1,1,1
119,7,0,0,1,1
119,28,0,0,1,1
120,56,0,-1,1,1
121,26,0,-1,1,1
127,27,0,-1,1,1
127,53,0,0,1,1
132,36,0,-1,1,1
134,6,0,0,1,1
134,14,0,0,1,1
136,49,0,0,1,1
137,24,0,0,1,1
138,23,0,-1,1,1
138,48,0,-1,1,1
141,31,0,-1,1,1
141,34,0,0,1,1
142,33,0,-1,1,1
143,4,0,0,1,1
143,13,0,0,1,1
146,10,0,0,1,1
146,12,0,0,1,1
147,9,0,0,1,1
152,23,0,0,1,1
154,27,0,0,1,1
155,20,0,0,1,1
156,10,0,0,1,1
158,8,0,0,1,1
162,35,0,-1,1,1
162,29,0,0,1,1
165,16,0,0,1,1
165,41,0,0,1,1
166,16,0,0,1,1
167,26,0,-1,1,1
170,53,0,-1,1,1
170,57,0,0,1,1
175,36,0,-1,1,1
175,13,0,0,1,1
176,4,0,-1,1,1
176,53,0,0,1,1
180,29,0,0,1,1
181,17,0,0,1,1
181,22,0,0,1,1
184,9,0,-1,1,1
185,4,0,0,1,1
187,47,0,-1,1,1
187,50,0,-1,1,1
189,31,0,-1,1,1
189,8,0,0,1,1
190,13,0,0,1,1
191,12,0,0,1,1
192,17,0,0,1,1
192,22,0,0,1,1
193,10,0,0,1,1
194,44,0,0,1,1
195,19,0,-1,1,1
197,16,0,0,1,1
198,37,0,-1,1,1
