sim_num,date,virus_id,virus,outbreak_size
167,54,0,Measles,15
167,55,0,Measles,15
167,56,0,Measles,15
167,57,0,Measles,15
167,58,0,Measles,16
167,59,0,Measles,16
167,60,0,Measles,16
168,0,0,Measles,2
168,1,0,Measles,2
168,2,0,Measles,2
168,3,0,Measles,2
168,4,0,Measles,2
168,5,0,Measles,2
168,6,0,Measles,2
168,7,0,Measles,2
168,8,0,Measles,2
168,9,0,Measles,2
168,10,0,Measles,2
168,11,0,Measles,2
168,12,0,Measles,2
168,13,0,Measles,2
168,14,0,Measles,2
168,15,0,Measles,2
168,16,0,Measles,2
168,17,0,Measles,2
168,18,0,Measles,2
168,19,0,Measles,2
168,20,0,Measles,2
168,21,0,Measles,2
168,22,0,Measles,2
168,23,0,Measles,4
168,24,0,Measles,4
168,25,0,Measles,4
168,26,0,Measles,4
168,27,0,Measles,4
168,28,0,Measles,4
168,29,0,Measles,4
168,30,0,Measles,4
168,31,0,Measles,4
168,32,0,Measles,4
168,33,0,Measles,4
168,34,0,Measles,4
168,35,0,Measles,4
168,36,0,Measles,5
168,37,0,Measles,5
168,38,0,Measles,7
168,39,0,Measles,7
168,40,0,Measles,7
168,41,0,Measles,7
168,42,0,Measles,7
168,43,0,Measles,7
168,44,0,Measles,7
168,45,0,Measles,7
168,46,0,Measles,7
168,47,0,Measles,7
168,48,0,Measles,7
168,49,0,Measles,7
168,50,0,Measles,7
168,51,0,Measles,7
168,52,0,Measles,7
168,53,0,Measles,7
168,54,0,Measles,7
168,55,0,Measles,7
168,56,0,Measles,7
168,57,0,Measles,7
168,58,0,Measles,7
168,59,0,Measles,7
168,60,0,Measles,7
169,0,0,Measles,2
169,1,0,Measles,2
169,2,0,Measles,2
169,3,0,Measles,2
169,4,0,Measles,3
169,5,0,Measles,3
169,6,0,Measles,3
169,7,0,Measles,3
169,8,0,Measles,4
169,9,0,Measles,5
169,10,0,Measles,7
169,11,0,Measles,7
169,12,0,Measles,7
169,13,0,Measles,7
169,14,0,Measles,7
169,15,0,Measles,7
169,16,0,Measles,7
169,17,0,Measles,9
169,18,0,Measles,10
169,19,0,Measles,11
169,20,0,Measles,12
169,21,0,Measles,12
169,22,0,Measles,12
169,23,0,Measles,13
169,24,0,Measles,13
169,25,0,Measles,13
169,26,0,Measles,13
169,27,0,Measles,13
169,28,0,Measles,13
169,29,0,Measles,13
169,30,0,Measles,13
169,31,0,Measles,13
169,32,0,Measles,13
169,33,0,Measles,13
169,34,0,Measles,15
169,35,0,Measles,16
169,36,0,Measles,16
169,37,0,Measles,17
169,38,0,Measles,18
169,39,0,Measles,19
169,40,0,Measles,20
169,41,0,Measles,23
169,42,0,Measles,23
169,43,0,Measles,25
169,44,0,Measles,26
169,45,0,Measles,26
169,46,0,Measles,27
169,47,0,Measles,29
169,48,0,Measles,31
169,49,0,Measles,34
169,50,0,Measles,36
169,51,0,Measles,37
169,52,0,Measles,41
169,53,0,Measles,42
169,54,0,Measles,42
169,55,0,Measles,42
169,56,0,Measles,43
169,57,0,Measles,47
169,58,0,Measles,48
169,59,0,Measles,49
169,60,0,Measles,50
170,0,0,Measles,2
170,1,0,Measles,2
170,2,0,Measles,2
170,3,0,Measles,2
170,4,0,Measles,2
170,5,0,Measles,2
170,6,0,Measles,2
170,7,0,Measles,2
170,8,0,Measles,2
170,9,0,Measles,2
170,10,0,Measles,3
170,11,0,Measles,5
170,12,0,Measles,6
170,13,0,Measles,7
170,14,0,Measles,7
170,15,0,Measles,7
170,16,0,Measles,8
170,17,0,Measles,8
170,18,0,Measles,8
170,19,0,Measles,10
170,20,0,Measles,11
170,21,0,Measles,13
170,22,0,Measles,15
170,23,0,Measles,15
170,24,0,Measles,16
170,25,0,Measles,17
170,26,0,Measles,19
170,27,0,Measles,24
170,28,0,Measles,26
170,29,0,Measles,27
170,30,0,Measles,31
170,31,0,Measles,34
170,32,0,Measles,40
170,33,0,Measles,42
170,34,0,Measles,43
170,35,0,Measles,44
170,36,0,Measles,45
170,37,0,Measles,46
170,38,0,Measles,46
170,39,0,Measles,48
170,40,0,Measles,50
170,41,0,Measles,51
170,42,0,Measles,54
170,43,0,Measles,55
170,44,0,Measles,57
170,45,0,Measles,57
170,46,0,Measles,58
170,47,0,Measles,60
170,48,0,Measles,60
170,49,0,Measles,65
170,50,0,Measles,67
170,51,0,Measles,69
170,52,0,Measles,72
170,53,0,Measles,75
170,54,0,Measles,80
170,55,0,Measles,81
170,56,0,Measles,83
170,57,0,Measles,84
170,58,0,Measles,88
170,59,0,Measles,89
170,60,0,Measles,89
171,0,0,Measles,2
171,1,0,Measles,2
171,2,0,Measles,2
171,3,0,Measles,2
171,4,0,Measles,2
171,5,0,Measles,2
171,6,0,Measles,2
171,7,0,Measles,2
171,8,0,Measles,2
171,9,0,Measles,2
171,10,0,Measles,2
171,11,0,Measles,2
171,12,0,Measles,3
171,13,0,Measles,3
171,14,0,Measles,3
171,15,0,Measles,4
171,16,0,Measles,5
171,17,0,Measles,5
171,18,0,Measles,5
171,19,0,Measles,5
171,20,0,Measles,5
171,21,0,Measles,5
171,22,0,Measles,5
171,23,0,Measles,6
171,24,0,Measles,6
171,25,0,Measles,6
171,26,0,Measles,7
171,27,0,Measles,7
171,28,0,Measles,8
171,29,0,Measles,8
171,30,0,Measles,9
171,31,0,Measles,10
171,32,0,Measles,11
171,33,0,Measles,11
171,34,0,Measles,12
171,35,0,Measles,12
171,36,0,Measles,12
171,37,0,Measles,13
171,38,0,Measles,13
171,39,0,Measles,13
171,40,0,Measles,14
171,41,0,Measles,15
171,42,0,Measles,15
171,43,0,Measles,15
171,44,0,Measles,15
171,45,0,Measles,15
171,46,0,Measles,15
171,47,0,Measles,15
171,48,0,Measles,15
171,49,0,Measles,16
171,50,0,Measles,16
171,51,0,Measles,19
171,52,0,Measles,21
171,53,0,Measles,21
171,54,0,Measles,21
171,55,0,Measles,21
171,56,0,Measles,21
171,57,0,Measles,22
171,58,0,Measles,22
171,59,0,Measles,22
171,60,0,Measles,22
172,0,0,Measles,2
172,1,0,Measles,2
172,2,0,Measles,2
172,3,0,Measles,2
172,4,0,Measles,3
172,5,0,Measles,3
