sim_num,date,virus_id,tool_id,count,weight
2,40,0,-1,1,1
2,44,0,-1,1,1
2,49,0,-1,1,1
2,57,0,-1,1,1
3,22,0,-1,1,1
3,20,0,0,1,1
4,58,0,-1,1,1
5,39,0,-1,1,1
5,49,0,-1,1,1
5,56,0,-1,1,1
5,42,0,0,1,1
6,60,0,-1,1,1
7,37,0,0,1,1
9,14,0,-1,1,1
9,52,0,0,1,1
9,54,0,0,1,1
10,16,0,0,1,1
11,45,0,-1,1,1
11,51,0,-1,1,1
11,60,0,-1,1,1
11,27,0,0,1,1
11,37,0,0,1,1
14,4,0,0,1,1
15,15,0,0,1,1
16,39,0,0,1,1
18,38,0,-1,1,1
18,55,0,0,1,1
20,54,0,-1,1,1
21,45,0,-1,1,1
22,33,0,-1,1,1
22,6,0,0,1,1
22,19,0,0,1,1
23,26,0,-1,1,1
26,18,0,-1,1,1
26,24,0,-1,1,1
27,48,0,-1,1,1
27,51,0,-1,1,1
29,4,0,-1,1,1
29,21,0,-1,1,1
33,22,0,-1,1,1
33,40,0,-1,1,1
33,53,0,-1,1,1
33,10,0,0,1,1
34,11,0,-1,1,1
35,59,0,-1,1,1
35,29,0,0,1,1
36,33,0,-1,1,1
36,43,0,-1,1,1
36,46,0,-1,1,1
37,53,0,-1,1,1
38,24,0,0,1,1
38,32,0,0,1,1
39,13,0,0,1,1
39,18,0,0,1,1
40,21,0,-1,1,1
40,29,0,-1,1,1
40,53,0,-1,1,1
40,58,0,-1,1,1
40,22,0,0,1,1
42,10,0,-1,1,1
42,14,0,-1,1,1
42,52,0,-1,1,1
44,25,0,-1,1,1
44,32,0,-1,1,1
44,41,0,-1,1,1
44,16,0,0,1,1
45,20,0,-1,1,1
45,23,0,-1,1,1
45,37,0,-1,1,1
45,51,0,-1,2,2
45,54,0,-1,1,1
45,37,0,0,1,1
49,36,0,-1,1,1
49,55,0,-1,1,1
49,36,0,0,1,1
50,19,0,-1,1,1
50,57,0,-1,1,1
51,44,0,-1,1,1
51,50,0,-1,1,1
53,46,0,-1,1,1
53,55,0,-1,1,1
57,23,0,-1,1,1
57,34,0,-1,1,1
57,40,0,-1,1,1
57,43,0,-1,1,1
57,46,0,-1,1,1
57,41,0,0,1,1
57,50,0,0,1,1
60,58,0,-1,1,1
64,36,0,0,1,1
66,51,0,-1,1,1
67,24,0,-1,1,1
68,43,0,0,1,1
69,46,0,0,1,1
69,58,0,0,1,1
70,48,0,-1,1,1
71,8,0,0,1,1
72,31,0,-1,1,1
72,58,0,-1,1,1
72,30,0,0,1,1
73,31,0,-1,1,1
73,38,0,-1,1,1
73,20,0,0,1,1
77,15,0,0,1,1
78,54,0,-1,1,1
81,32,0,-1,1,1
81,37,0,-1,1,1
81,56,0,-1,1,1
81,17,0,0,1,1
82,11,0,0,1,1
83,19,0,0,1,1
84,40,0,-1,1,1
85,41,0,-1,1,1
85,56,0,-1,1,1
85,57,0,-1,1,1
86,24,0,-1,1,1
86,33,0,-1,1,1
86,57,0,0,1,1
88,18,0,-1,1,1
88,59,0,-1,1,1
88,21,0,0,1,1
89,21,0,0,1,1
90,47,0,-1,1,1
90,33,0,0,1,1
91,20,0,-1,1,1
91,39,0,-1,1,1
91,41,0,-1,1,1
92,39,0,-1,1,1
93,27,0,-1,1,1
93,49,0,-1,1,1
94,15,0,-1,1,1
94,57,0,-1,1,1
96,4,0,0,1,1
97,8,0,0,1,1
99,41,0,-1,1,1
99,50,0,-1,1,1
99,51,0,-1,1,1
99,56,0,-1,1,1
99,58,0,-1,1,1
99,25,0,0,1,1
100,12,0,0,1,1
101,6,0,0,1,1
101,46,0,0,1,1
102,33,0,-1,1,1
102,35,0,-1,1,1
102,10,0,0,1,1
102,14,0,0,1,1
103,11,0,0,1,1
103,54,0,0,1,1
104,18,0,0,1,1
107,32,0,-1,1,1
107,36,0,-1,1,1
107,49,0,-1,1,1
107,54,0,-1,1,1
107,50,0,0,1,1
109,36,0,-1,1,1
109,41,0,-1,1,1
109,36,0,0,1,1
109,55,0,0,1,1
110,20,0,0,1,1
113,26,0,-1,1,1
113,14,0,0,1,1
114,34,0,-1,1,1
114,35,0,0,1,1
115,35,0,-1,1,1
116,40,0,-1,1,1
116,15,0,0,1,1
117,53,0,-1,1,1
117,10,0,0,1,1
121,24,0,-1,1,1
121,11,0,0,1,1
122,27,0,0,1,1
124,31,0,0,1,1
127,51,0,-1,1,1
127,59,0,0,1,1
131,40,0,-1,1,1
131,57,0,-1,1,1
132,40,0,0,1,1
133,49,0,-1,1,1
134,25,0,-1,1,1
134,31,0,-1,1,1
134,15,0,0,1,1
135,6,0,-1,1,1
135,57,0,0,1,1
137,16,0,-1,1,1
137,32,0,-1,1,1
137,55,0,-1,1,1
139,25,0,0,1,1
139,52,0,0,1,1
142,30,0,-1,1,1
