sim_num,date,virus_id,tool_id,count,weight
1,24,0,-1,1,1
1,27,0,-1,1,1
1,51,0,-1,1,1
1,23,0,0,1,1
5,26,0,0,1,1
6,33,0,-1,1,1
6,34,0,-1,1,1
6,40,0,-1,1,1
8,28,0,-1,1,1
8,34,0,-1,2,2
8,42,0,-1,1,1
8,7,0,0,1,1
9,19,0,-1,1,1
9,58,0,-1,1,1
9,16,0,0,1,1
9,42,0,0,1,1
11,35,0,-1,1,1
11,47,0,-1,1,1
12,53,0,-1,1,1
13,19,0,-1,1,1
13,32,0,-1,1,1
13,49,0,-1,1,1
13,57,0,-1,1,1
13,57,0,0,1,1
15,42,0,-1,1,1
15,60,0,-1,1,1
15,17,0,0,1,1
17,37,0,-1,1,1
18,29,0,-1,1,1
18,37,0,-1,2,2
18,50,0,-1,1,1
18,56,0,-1,1,1
18,57,0,-1,1,1
21,39,0,-1,1,1
21,41,0,-1,1,1
21,43,0,-1,1,1
21,39,0,0,1,1
23,39,0,-1,1,1
23,60,0,-1,1,1
26,59,0,-1,1,1
27,25,0,0,1,1
28,30,0,-1,1,1
28,34,0,-1,1,1
28,47,0,-1,1,1
28,58,0,-1,1,1
29,26,0,-1,1,1
29,42,0,-1,1,1
29,45,0,-1,1,1
29,55,0,-1,1,1
29,59,0,-1,1,1
29,60,0,-1,1,1
29,27,0,0,1,1
32,27,0,-1,1,1
32,5,0,0,1,1
33,13,0,-1,1,1
33,31,0,-1,1,1
33,50,0,-1,1,1
33,58,0,0,1,1
35,47,0,-1,1,1
35,51,0,-1,1,1
35,60,0,-1,2,2
36,15,0,-1,1,1
36,42,0,-1,1,1
36,45,0,-1,1,1
36,48,0,-1,1,1
37,29,0,-1,1,1
37,52,0,-1,1,1
37,55,0,-1,1,1
37,28,0,0,1,1
38,55,0,-1,1,1
39,14,0,-1,1,1
39,44,0,-1,1,1
40,19,0,-1,1,1
40,51,0,0,1,1
41,40,0,-1,1,1
41,56,0,-1,1,1
41,22,0,0,1,1
